Año,Fecha,Ubicación,Hora,Temperatura (°C),Clima,Precipitaciones (mm),Probabilidad de Nevada,Humedad (%),Velocidad del Viento (km/h),Ráfaga de Viento (km/h),Ángulo del Viento (°),Dirección del Viento,Nubosidad,Visibilidad (km)
2022,21 de febrero,Maipú,00:00,14.7,Despejado,0.0,0.0,55,4.0,6.1,223,SW,0.04,10
2022,21 de febrero,Maipú,01:00,14.6,Despejado,0.0,0.0,55,3.6,5.6,225,SW,0.04,10
2022,21 de febrero,Maipú,02:00,14.4,Despejado,0.0,0.0,56,3.2,5.2,226,SW,0.04,10
2022,21 de febrero,Maipú,03:00,14.3,Despejado,0.0,0.0,56,2.9,4.7,228,SW,0.03,10
2022,21 de febrero,Maipú,04:00,14.1,Despejado,0.0,0.0,57,2.5,4.2,216,SW,0.03,10
2022,21 de febrero,Maipú,05:00,13.9,Despejado,0.0,0.0,58,2.2,3.7,204,SSW,0.03,10
2022,21 de febrero,Maipú,06:00,13.7,Despejado,0.0,0.0,59,1.8,3.2,193,SW,0.03,10
2022,21 de febrero,Maipú,07:00,15.3,Soleado,0.0,0.0,53,2.9,4.1,219,SW,0.04,10
2022,21 de febrero,Maipú,08:00,17.0,Soleado,0.0,0.0,48,4.0,4.9,245,WSW,0.06,10
2022,21 de febrero,Maipú,09:00,18.6,Soleado,0.0,0.0,43,5.0,5.8,272,W,0.07,10
2022,21 de febrero,Maipú,10:00,21.1,Soleado,0.0,0.0,38,6.8,7.8,274,W,0.05,10
2022,21 de febrero,Maipú,11:00,23.7,Soleado,0.0,0.0,34,8.6,9.8,277,W,0.02,10
2022,21 de febrero,Maipú,12:00,26.2,Soleado,0.0,0.0,29,10.4,11.9,279,W,0.03,10
2022,21 de febrero,Maipú,13:00,27.7,Soleado,0.0,0.0,28,11.3,12.8,274,W,0.04,10
2022,21 de febrero,Maipú,14:00,29.3,Soleado,0.0,0.0,26,12.1,13.8,270,W,0.04,10
2022,21 de febrero,Maipú,15:00,30.8,Soleado,0.0,0.0,25,13.0,14.8,265,W,0.04,10
2022,21 de febrero,Maipú,16:00,28.9,Soleado,0.0,0.0,28,14.5,16.6,259,W,0.06,10
2022,21 de febrero,Maipú,17:00,27.1,Soleado,0.0,0.0,31,16.1,18.4,265,W,0.08,10
2022,21 de febrero,Maipú,18:00,25.2,Soleado,0.0,0.0,33,17.6,20.2,265,W,0.1,10
2022,21 de febrero,Maipú,19:00,22.6,Soleado,0.0,0.0,39,13.4,15.8,259,W,0.09,10
2022,21 de febrero,Maipú,20:00,20.0,Despejado,0.0,0.0,45,9.2,11.5,253,WSW,0.08,10
2022,21 de febrero,Maipú,21:00,17.4,Despejado,0.0,0.0,51,5.0,7.2,247,WSW,0.07,10
2022,21 de febrero,Maipú,22:00,16.8,Despejado,0.0,0.0,53,4.7,6.8,247,WSW,0.06,10
2022,21 de febrero,Maipú,23:00,16.1,Despejado,0.0,0.0,56,4.3,6.5,247,WSW,0.05,10
2023,21 de febrero,Maipú,00:00,19.8,Despejado,0.0,0.0,36,3.6,6.1,237,WSW,0.04,10
2023,21 de febrero,Maipú,01:00,19.5,Despejado,0.0,0.0,36,3.5,6.0,235,SW,0.04,10
2023,21 de febrero,Maipú,02:00,19.2,Despejado,0.0,0.0,37,3.4,5.9,232,SW,0.03,10
2023,21 de febrero,Maipú,03:00,18.9,Despejado,0.0,0.0,38,3.2,5.8,230,SW,0.02,10
2023,21 de febrero,Maipú,04:00,18.6,Despejado,0.0,0.0,39,3.0,5.4,222,SW,0.01,10
2023,21 de febrero,Maipú,05:00,18.4,Despejado,0.0,0.0,40,2.8,5.0,215,SW,0.01,10
2023,21 de febrero,Maipú,06:00,18.1,Despejado,0.0,0.0,40,2.5,4.7,208,SSW,0.0,10
2023,21 de febrero,Maipú,07:00,19.8,Despejado,0.0,0.0,36,3.0,4.7,231,SW,0.0,10
2023,21 de febrero,Maipú,08:00,21.6,Soleado,0.0,0.0,33,3.5,4.7,254,WSW,0.0,10
2023,21 de febrero,Maipú,09:00,23.3,Soleado,0.0,0.0,29,4.0,4.7,277,W,0.0,10
2023,21 de febrero,Maipú,10:00,26.3,Soleado,0.0,0.0,26,5.8,6.7,279,W,0.01,10
2023,21 de febrero,Maipú,11:00,29.4,Soleado,0.0,0.0,23,7.6,8.8,280,W,0.02,10
2023,21 de febrero,Maipú,12:00,32.4,Soleado,0.0,0.0,20,9.4,10.8,282,WNW,0.03,10
2023,21 de febrero,Maipú,13:00,32.3,Soleado,0.0,0.0,19,11.6,13.4,277,W,0.04,10
2023,21 de febrero,Maipú,14:00,32.1,Soleado,0.0,0.0,19,13.9,16.1,273,W,0.04,10
2023,21 de febrero,Maipú,15:00,32.0,Soleado,0.0,0.0,18,16.2,18.7,268,W,0.04,10
2023,21 de febrero,Maipú,16:00,30.3,Soleado,0.0,0.0,20,15.7,18.2,267,W,0.04,10
2023,21 de febrero,Maipú,17:00,28.7,Soleado,0.0,0.0,22,15.5,18.0,265,W,0.04,10
2023,21 de febrero,Maipú,18:00,27.0,Soleado,0.0,0.0,24,14.0,16.0,262,W,0.03,10
2023,21 de febrero,Maipú,19:00,25.0,Soleado,0.0,0.0,27,11.8,14.2,259,W,0.05,10
2023,21 de febrero,Maipú,20:00,23.1,Soleado,0.0,0.0,29,8.0,10.3,259,W,0.05,10
2023,21 de febrero,Maipú,21:00,21.1,Despejado,0.0,0.0,32,4.3,6.5,256,WSW,0.04,10
2023,21 de febrero,Maipú,22:00,20.3,Despejado,0.0,0.0,34,4.2,6.6,248,WSW,0.04,10
2023,21 de febrero,Maipú,23:00,19.6,Despejado,0.0,0.0,36,4.1,6.7,241,WSW,0.04,10
2024,21 de febrero,Maipú,00:00,18.0,Despejado,0.0,0.0,66,4.7,7.1,257,WSW,0.08,10
2024,21 de febrero,Maipú,01:00,17.5,Despejado,0.0,0.0,68,4.0,6.2,233,SW,0.07,10
2024,21 de febrero,Maipú,02:00,17.2,Despejado,0.0,0.0,69,4.0,6.2,261,W,0.08,10
2024,21 de febrero,Maipú,03:00,16.9,Despejado,0.0,0.0,70,4.3,6.8,242,WSW,0.08,10
2024,21 de febrero,Maipú,04:00,16.5,Despejado,0.0,0.0,72,4.3,6.8,249,WSW,0.09,10
2024,21 de febrero,Maipú,05:00,16.1,Despejado,0.0,0.0,74,3.6,5.7,243,WSW,0.11,10
2024,21 de febrero,Maipú,06:00,15.8,Despejado,0.0,0.0,75,3.6,5.7,252,WSW,0.13,10
2024,21 de febrero,Maipú,07:00,16.2,Despejado,0.0,0.0,73,4.0,5.8,240,WSW,0.14,10
2024,21 de febrero,Maipú,08:00,17.7,Soleado,0.0,0.0,66,4.3,5.1,253,WSW,0.15,10
2024,21 de febrero,Maipú,09:00,20.0,Soleado,0.0,0.0,57,5.8,6.6,282,WNW,0.16,10
2024,21 de febrero,Maipú,10:00,22.1,Soleado,0.0,0.0,50,7.2,8.3,279,W,0.15,10
2024,21 de febrero,Maipú,11:00,24.3,Soleado,0.0,0.0,44,7.9,9.1,282,WNW,0.14,10
2024,21 de febrero,Maipú,12:00,26.2,Soleado,0.0,0.0,40,10.4,12.0,277,W,0.13,10
2024,21 de febrero,Maipú,13:00,27.6,Soleado,0.0,0.0,37,11.9,13.7,274,W,0.12,10
2024,21 de febrero,Maipú,14:00,28.7,Soleado,0.0,0.0,33,13.3,15.3,271,W,0.1,10
2024,21 de febrero,Maipú,15:00,29.2,Soleado,0.0,0.0,29,16.6,19.0,265,W,0.07,10
2024,21 de febrero,Maipú,16:00,28.0,Soleado,0.0,0.0,30,21.2,24.4,263,W,0.05,10
2024,21 de febrero,Maipú,17:00,25.8,Soleado,0.0,0.0,35,20.5,23.6,262,W,0.06,10
2024,21 de febrero,Maipú,18:00,23.2,Soleado,0.0,0.0,41,15.8,18.2,261,W,0.08,10
2024,21 de febrero,Maipú,19:00,20.6,Soleado,0.0,0.0,49,10.8,12.6,265,W,0.1,10
2024,21 de febrero,Maipú,20:00,18.4,Soleado,0.0,0.0,56,6.5,8.7,273,W,0.14,10
2024,21 de febrero,Maipú,21:00,17.5,Despejado,0.0,0.0,60,5.8,8.5,264,W,0.17,10
2024,21 de febrero,Maipú,22:00,16.8,Despejado,0.0,0.0,62,6.1,8.5,262,W,0.24,10
2024,21 de febrero,Maipú,23:00,16.2,Parcialmente nublado,0.0,0.0,65,4.7,6.7,246,WSW,0.32,10
2025,21 de febrero,Maipú,00:00,17.4,Despejado,0.0,0.0,57,2.5,4.2,215,SW,0.0,10
2025,21 de febrero,Maipú,01:00,17.3,Despejado,0.0,0.0,56,2.9,5.0,199,SSW,0.0,10
2025,21 de febrero,Maipú,02:00,17.3,Despejado,0.0,0.0,55,3.6,6.4,203,SSW,0.0,10
2025,21 de febrero,Maipú,03:00,17.4,Despejado,0.0,0.0,54,2.5,4.6,202,SSW,0.0,10
2025,21 de febrero,Maipú,04:00,17.2,Despejado,0.0,0.0,54,2.9,5.3,187,S,0.0,10
2025,21 de febrero,Maipú,05:00,17.1,Despejado,0.0,0.0,53,2.2,4.1,218,SW,0.0,10
2025,21 de febrero,Maipú,06:00,16.9,Despejado,0.0,0.0,54,1.8,3.5,155,SSE,0.0,10
2025,21 de febrero,Maipú,07:00,17.7,Despejado,0.0,0.0,51,1.8,3.2,208,SSW,0.05,10
2025,21 de febrero,Maipú,08:00,19.9,Soleado,0.0,0.0,44,2.5,3.3,230,SW,0.15,10
2025,21 de febrero,Maipú,09:00,22.3,Soleado,0.0,0.0,37,1.8,2.1,235,SW,0.09,10
2025,21 de febrero,Maipú,10:00,25.0,Soleado,0.0,0.0,31,2.9,3.3,284,WNW,0.05,10
2025,21 de febrero,Maipú,11:00,27.2,Soleado,0.0,0.0,27,7.2,8.3,279,W,0.15,10
2025,21 de febrero,Maipú,12:00,29.2,Soleado,0.0,0.0,23,9.0,10.4,277,W,0.02,10
2025,21 de febrero,Maipú,13:00,30.8,Soleado,0.0,0.0,21,9.4,10.8,280,W,0.03,10
2025,21 de febrero,Maipú,14:00,31.9,Soleado,0.0,0.0,20,13.0,14.9,277,W,0.12,10
2025,21 de febrero,Maipú,15:00,32.3,Soleado,0.0,0.0,19,14.4,16.6,271,W,0.04,10
2025,21 de febrero,Maipú,16:00,32.2,Soleado,0.0,0.0,19,16.2,18.6,268,W,0.02,10
2025,21 de febrero,Maipú,17:00,30.6,Parcialmente nublado,0.0,0.0,20,19.4,22.4,269,W,0.32,10
2025,21 de febrero,Maipú,18:00,28.5,Soleado,0.0,0.0,22,14.0,16.2,276,W,0.22,10
2025,21 de febrero,Maipú,19:00,25.8,Parcialmente nublado,0.0,0.0,25,9.4,12.1,270,W,0.33,10
2025,21 de febrero,Maipú,20:00,23.1,Parcialmente nublado,0.0,0.0,29,6.1,9.8,259,W,0.43,10
2025,21 de febrero,Maipú,21:00,21.8,Parcialmente nublado,0.0,0.0,32,5.4,8.7,252,WSW,0.32,10
2025,21 de febrero,Maipú,22:00,21.1,Parcialmente nublado,0.0,0.0,34,5.0,8.2,246,WSW,0.38,10
2025,21 de febrero,Maipú,23:00,20.3,Despejado,0.0,0.0,36,3.2,5.5,223,SW,0.12,10
